make,make_URL
audi,https://www.carzone.ie/used-cars/audi
bmw,https://www.carzone.ie/used-cars/bmw
byd,https://www.carzone.ie/used-cars/byd
citroen,https://www.carzone.ie/used-cars/citroen
cupra,https://www.carzone.ie/used-cars/cupra
dacia,https://www.carzone.ie/used-cars/dacia
fiat,https://www.carzone.ie/used-cars/fiat
ford,https://www.carzone.ie/used-cars/ford
honda,https://www.carzone.ie/used-cars/honda
hyundai,https://www.carzone.ie/used-cars/hyundai
jaguar,https://www.carzone.ie/used-cars/jaguar
jeep,https://www.carzone.ie/used-cars/jeep
kia,https://www.carzone.ie/used-cars/kia
land-rover,https://www.carzone.ie/used-cars/land-rover
lexus,https://www.carzone.ie/used-cars/lexus
mazda,https://www.carzone.ie/used-cars/mazda
mercedes-benz,https://www.carzone.ie/used-cars/mercedes-benz
mg,https://www.carzone.ie/used-cars/mg
mini,https://www.carzone.ie/used-cars/mini
mitsubishi,https://www.carzone.ie/used-cars/mitsubishi
nissan,https://www.carzone.ie/used-cars/nissan
opel,https://www.carzone.ie/used-cars/opel
peugeot,https://www.carzone.ie/used-cars/peugeot
porsche,https://www.carzone.ie/used-cars/porsche
renault,https://www.carzone.ie/used-cars/renault
seat,https://www.carzone.ie/used-cars/seat
skoda,https://www.carzone.ie/used-cars/skoda
suzuki,https://www.carzone.ie/used-cars/suzuki
tesla,https://www.carzone.ie/used-cars/tesla
toyota,https://www.carzone.ie/used-cars/toyota
volkswagen,https://www.carzone.ie/used-cars/volkswagen
volvo,https://www.carzone.ie/used-cars/volvo
